Dedicated and 11 routes Pick up times,,,6 routes pick up time,,9 routes pick up time,
TRUE ORIGIN,dedicated routes Pick-up Time,11 routes Pick-up Time,TRUE ORIGIN,6 routes Optimized Pick-up Time,TRUE ORIGIN,Optimized Pick-up Time
SO41 9GJ,28:49.8,11:46:47,SO18 6BT,15:04:13,SO18 6BT,15:04:13
SO41 9ND,11:21.4,11:47:09,SO18 2PA,15:06:10,SO18 2PA,15:06:10
SO42 7RY,20:15.3,11:30:16,SO18 1HZ,15:06:59,SO18 1HZ,15:06:59
SO43 7EW,18:48.3,10:18:03,SO17 2GD,15:08:29,SO17 2GD,15:08:29
SO43 7NG,16:57.7,10:16:57,SO51 7QN,15:20:41,SO51 7QN,15:20:41
SO45 1XA,48:09.1,12:15:20,SO41 8QD,15:53:29,SO32 1GR,15:48:36
SO45 4JA,23:35.9,12:20:57,SO41 6BA,15:59:15,SO21 1QY,16:00:40
SO45 4ZD,26:39.2,10:25:41,SO40 3ZN,16:19:59,SO23 8AD,16:06:28
SO45 5WX,25:30.6,10:25:30,SO53 4ST,16:30:39,SO22 6EL,16:09:11
SO45 6AW,40:43.5,10:27:11,SO53 2ZH,16:32:17,,
SO50 4QP,50:52.0,11:50:52,SO53 2LH,16:33:23,,
SO50 8AU,39:54.4,11:39:54,SO50 4QP,16:34:59,,
SO50 9AG,53:47.0,11:51:56,SO50 8AU,16:39:30,,
SO51 7QN,09:41.1,11:33:28,SO43 7NG,17:05:14,,
SO51 8ED,52:15.2,11:34:10,SO43 7EW,17:06:20,,
SO51 8EN,53:30.2,11:34:53,SO42 7RY,17:40:36,,
SO52 9EP,28:42.9,11:28:42,SP6 1RS,18:04:14,,
SO53 2LH,09:12.5,11:09:12,SO32 1GR,18:53:21,,
SO53 2ZH,24:50.8,11:36:47,SO21 1QY,19:05:25,,
SO53 4ST,24:39.6,11:38:25,SO23 8AD,19:11:13,,
SP6 1RS,43:53.6,11:43:53,SO22 6EL,19:13:56,,
