,SO16 6YD,SO43 7NG,SO19 9AN,SO19 9AL,SO30 3PY,BH25 5JP,SO16 4AH,SO16 2JA,SO18 3RA,SO51 8EN,SO32 2UG,SO42 7RY,SO16 4NZ,SO31 8ES,SO30 4FQ,SO18 5TS,SO41 0PG,SO40 8WU,SO15 5AL,SO14 1LT,SO40 3PY,SO17 1BJ,SO16 4XE,BH24 1SD,SO15 2HQ,SO45 6AW,SO18 6TG,SO16 5ST,SO14 6UX,SO51 8ED,SO15 3FH,BH25 7EN,SO41 8QD,SO45 1XA,SO31 4NQ,SO16 3BD,SO41 9ND,SP6 1RS,SO45 4JA,SO15 5DD,SO16 8HY,SO43 7EW,SO40 4UZ,SO17 1PJ,SO14 0YG,SO52 9EP,SO50 9AG,SO19 4AA,SO15 5RP,SO15 3UA,SO19 9RL,SO19 6DJ,SO51 7QN,SO15 5SY,SO45 4ZD,SO41 9GJ,BH24 1JY,BH25 6EN,SO41 6BA,SO19 9GH,SO40 3ZN,SO18 1HZ,SO53 2ZH,SO50 8AU,SO17 2GD,SO45 5WX,SO32 1GR,SO18 2PA,SO50 4QP,SO23 8AD,SO21 1QY,SO53 4ST,SO22 6EL,SO41 3RA,SO53 2LH,SO18 6BT,BH23 8AD
SO16 6YD,0.0,14.46240988789318,7.107950142699212,6.983642783696111,9.008643292623363,30.09546792882252,2.3862250145980917,4.78982346084971,6.857511984072268,9.419399222897674,13.604883917232883,19.82239819440582,1.7709170168371895,11.432968784254934,11.600930621390786,8.88433419566837,30.861450941068163,7.017482116889184,2.169004498717419,4.754843878636485,5.026536955837775,3.1003963063441917,1.5229677680859022,30.23407596600919,3.3127184943351202,8.775835067409522,6.662627618857265,1.1545736743138744,3.2353920769915003,9.136406433899824,2.7999529189101713,31.44233036669305,23.77487384612537,15.98505594404147,11.770952585879508,4.023195190243002,25.22301308726823,30.22688021479725,10.915559103422181,2.7416541881849907,1.6606909825781448,14.454452217234275,5.716408463984368,2.667152914907103,4.1468435848779,5.631833041999235,8.50021461345957,6.339682633431696,1.622910216703313,2.1678346801221253,6.965212274900162,8.478152541832966,9.034941991557234,1.153593807180123,10.236073958753966,24.947352795908053,32.06585961481941,30.175142898985712,24.630225474594393,8.003226220933756,4.880391499102708,5.373190724407389,8.112594704348718,11.257316999981864,3.9254912371362902,10.227499538922578,18.881022471186586,5.800772649271942,8.650080639625227,20.187560310259688,15.308046397717877,6.6604431249221925,20.566505987699358,25.23798505277018,8.892153875499346,7.081115458627428,32.59636426174198
SO43 7NG,14.46240988789318,0.0,17.98767344915698,17.867150650668787,22.545731341788155,17.498159819003764,12.120848527061101,19.067655866958503,20.702691804041425,16.18879764186391,26.379364909824073,8.583889775073791,12.90449900560305,22.502057122913822,24.368949327485065,21.652953802008852,20.781116341845156,7.728578649596184,14.793300342022736,16.05877515789388,9.52574664583016,17.32457424779122,12.991800785259436,16.13700517198278,15.646841565646568,15.223472930561035,19.544031561698887,15.457139746328671,16.468478767643372,16.6235083103717,14.366054156576965,18.969520940864776,15.043385369019385,19.361289620068895,21.59233224853449,18.328027654077975,16.55186415842063,18.834356762340757,14.565246483177207,14.948983817518448,13.991896127384079,1.1001601173489801,11.38766737148057,16.728571677084584,16.3312382118122,17.80537679112507,22.920340933684386,18.938553342265784,14.059520685987149,13.942064311067972,17.91647982385416,20.699458234143176,17.168543369644304,14.0611345241107,15.487216673462799,16.19569978664623,17.895035853703636,17.664097353784516,12.77191849301722,18.006690398779593,9.691355855800659,18.780437167711327,21.868809220421465,25.669574030201094,17.350062019004092,15.319062031740723,32.82639307879857,19.482779577205992,22.943712884818833,33.541750951263644,29.350807415386438,20.241592676465302,33.2699930890939,16.6180569133571,22.8452648654033,19.871423857460197,18.426478697103217
SO19 9AN,7.107950142699212,17.98767344915698,0.0,0.13522760129453362,5.63089930020015,30.483689538486356,7.804287321103255,5.742442352976532,5.0409146023809654,16.458767246911407,8.454983960219298,20.497915152782383,7.064336221021655,4.725616383605152,6.512266050589185,4.065026870972414,29.56672762750354,12.228105628354676,5.025086088277027,2.4623782583070892,10.396973606859012,5.486149512915537,7.36826023337544,34.10065989896602,3.804704789442076,4.474591596490088,2.8596704250623746,7.463358641929185,4.078875798186216,16.115379805921197,4.740893973099962,31.65326906374223,22.48185116426781,10.386397396871166,4.677066214945044,5.733797553723193,23.707619703423926,35.729309879034666,7.089336606145789,4.482401196519158,8.768154194326128,17.557211309697376,6.600827118420724,5.245116199130483,2.964788807376734,11.74247519098858,9.996746696908339,2.290108257574675,5.8651735672933745,5.509381138918541,0.14527516647804747,2.8887529410444595,15.925383083896955,6.277309460420135,5.718137263144479,23.508061865783016,35.82365239666215,30.493131859279487,24.968422126662123,1.140155114830332,10.340483274308834,3.588542667931152,11.835105489320418,10.431807386405543,3.8784619020038615,5.833706940770567,15.490959323822409,4.228975933519588,10.827782831308351,22.68615452052871,17.009142511047912,11.122756372041584,23.84277331730835,23.694266259233647,12.005052073479398,2.8708449768082165,34.48499951404416
SO19 9AL,6.983642783696111,17.867150650668787,0.13522760129453362,0.0,5.683372009345678,30.41063580693574,7.669657198982434,5.686793782708453,5.040787057976354,16.340604777047975,8.565604898507432,20.41410921972532,6.930664421008824,4.859697060102237,6.615984916477027,4.1437595132162865,29.522559180146782,12.09385671106989,4.896043666149186,2.328932723824661,10.26188448313581,5.395531273581474,7.235593941336033,33.98234452436911,3.6780993953381254,4.436643240325771,2.8684189543055014,7.348546080604981,3.9689849911529906,15.999821049712361,4.607077445402236,31.583583536229934,22.433076389682554,10.42933982533391,4.806381154060018,5.662130320747609,23.664054159954947,35.597322152709204,7.061377665719771,4.351890020769594,8.643537393615345,17.440392543617246,6.479714422554962,5.1437509864888415,2.8429613058180894,11.644168758609341,9.973178489696428,2.280851195211194,5.73388081496205,5.376066840939863,0.08160369242116057,2.9799763269737154,15.812920408882308,6.147498597526339,5.701851636162128,23.462885657030352,35.70678424953611,30.421214182324896,24.89325700272194,1.2055987788726137,10.205312883422591,3.5454022472128175,11.778802410029922,10.456745465863875,3.788428743894548,5.814133624881556,15.578958337674866,4.202123553532743,10.795467163541689,22.671726440192938,17.00283836033394,11.051178607772176,23.814184556948902,23.65123593436849,11.960240514807309,2.8991629334570055,34.39092746968326
SO30 3PY,9.008643292623363,22.545731341788155,5.63089930020015,5.683372009345678,0.0,36.033314688427765,10.867496229138592,4.546822448909829,2.2067069524126484,16.754358742185037,4.777215372359464,25.951836049210314,10.014809075779596,5.254700328833476,3.01104784807453,1.8870168787945225,35.19111257998723,15.751860012062828,7.869285401128573,6.639054134820961,13.743111997825897,5.958219726652191,10.10049145178299,38.64541179265402,6.904374314266806,10.09573516132344,3.0970119705142984,8.582193386791397,6.172341137715388,16.221268494964434,8.193291850563455,37.22627920059218,28.112211797261935,15.123230121282607,7.002432052968217,5.228893853999464,29.33120888531058,39.21239093072564,12.674994161244356,7.626923030803681,10.381014201933953,22.281859949957617,11.437795494281126,6.342454673087226,6.22725708931327,11.060282837068723,6.067704629140696,3.7604050468140517,8.710552562348786,8.698703132717133,5.604035150548276,3.055574603509388,15.807816287228952,8.867115927004434,11.256933637979301,29.134553376175077,40.42857268347278,36.05123682986389,30.50375370404113,6.44699045512694,13.62830357671372,3.8041144641661186,9.002839239177767,5.05858314845601,5.298842444733568,11.388428886419623,10.293530596487239,3.2196494968922247,7.124951017063793,17.939618546984594,12.147087404353261,9.088547140746897,19.46960048280038,29.3167397814966,8.667777405288202,2.8738285923597013,39.763154868514505
BH25 5JP,30.09546792882252,17.498159819003764,30.483689538486356,30.41063580693574,36.033314688427765,0.0,27.761809868047102,33.89974208210955,34.79317722711525,33.663275587107336,38.46157486096503,10.284159331552177,28.331583760779854,33.73777793637947,36.76355765292772,34.54648283597239,7.177701958550377,24.55430508847752,29.527993301940324,29.577882397469583,25.890420970006495,32.30506235603648,28.586056180286164,16.16571334604441,29.885533583417818,26.203415416468378,32.98085194560301,31.23337709765159,30.915953016739344,34.0708324764921,28.830967059753462,1.4831592280544237,9.568658157269144,25.265599097664573,32.05651202412046,33.282715097096386,9.379939698255995,25.61498508952079,23.963335751134128,29.420182778030885,30.20129208345566,16.860045288978334,25.0605743417819,31.655782939804787,30.231804228161447,34.5769361207131,38.38358104491366,32.30927854630493,29.09624867844902,28.755558275761654,30.486006021814074,33.342537006760544,34.586880284658825,29.302418174364654,25.42739306939399,9.281826165295584,16.349699169021218,0.3032097603877605,5.540242303699886,29.909250483144607,26.066042932855307,32.79503736086957,38.14180121507026,40.3172773921021,31.690800908644007,25.257311330905345,45.88436464902363,33.59981376937215,38.68960495529673,50.172462124220296,45.39433402020195,36.591046355156976,50.22506826848246,9.465545569994944,38.97836901960802,33.16234512125518,7.560225198417003
SO16 4AH,2.3862250145980917,12.120848527061101,7.804287321103255,7.669657198982434,10.867496229138592,27.761809868047102,0.0,6.979823667439275,8.824367727389902,9.821337421233697,15.245384142401111,17.502277500753337,0.8529998369244508,12.455226864341055,13.205634520292612,10.424494468050336,28.716765707856567,4.886842716194161,3.0639614444741934,5.349452964155735,2.8756216171003866,5.2368754665569766,0.8740145143684357,27.996328795167116,4.240883303780702,8.164529459011266,8.170792947301507,3.4862494802121824,4.718928530135093,9.705308655696184,3.0780305100052194,29.11942683353629,21.67582234848662,15.278628344052086,12.418294982506147,6.227565468990067,23.149504597365198,28.40349836874798,9.871094348360362,3.4664462859792384,2.6730946903146116,12.082807808730196,4.07701046200158,4.675578558663707,5.1145634493447965,7.346282194466484,10.883972549733127,7.704401037722979,2.1752807588578196,2.344441576607588,7.676613770395991,9.78864165289787,9.775907750158957,2.013278278128474,9.492204382855801,22.862993026150583,29.81571371087981,27.846625747528694,22.316644333777827,8.45376357384834,2.7630773908812225,7.080836401787022,10.38899582033716,13.553484141795995,5.574854874403587,9.442463513525702,20.971278294428895,7.663482704196631,11.031360892641517,22.453272015741426,17.668163097310693,8.87151829526811,22.72015740662898,23.16929435584076,11.217911318125758,8.566739788984096,30.211028773099045
SO16 2JA,4.78982346084971,19.067655866958503,5.742442352976532,5.686793782708453,4.546822448909829,33.89974208210955,6.979823667439275,0.0,2.3528857465001365,12.29382168256721,9.318652271446762,23.63660797670678,6.169382515796558,8.454916175048178,7.453203237591656,5.097301033967047,33.926453713298486,11.788613406177774,4.421490036519093,4.820474134669821,9.78191114987126,1.7446011462380602,6.127479426267841,34.972735426195854,4.0601868525013245,9.547763099036064,3.458603164290032,4.143848210182171,3.006907900708299,11.793765481151471,5.072598108950881,35.184937192781106,26.77793564086219,16.10315150972299,9.534495083764066,0.7668130016417569,28.130642051843555,34.95196338578793,12.162629787866582,4.479910725943374,5.958268976909363,18.962374519881045,8.841812631216103,2.347519009574343,3.9568201221401464,6.765396253216551,4.664220439135969,3.660190577785078,5.033756556501982,5.247613568037769,5.61908796846232,5.292937596267709,11.429088715857558,5.006836586039601,11.00254456858005,27.890532901770875,36.79460952939792,33.95232182878734,28.370516389319068,6.88242403372312,9.643785287298584,2.194218622762487,6.092663413058465,6.623606733781486,2.356661722322907,11.073406784713475,14.095109516341056,1.8583891466832563,5.295304377503983,17.34156775910604,11.882117275657274,5.4766898792453444,18.280245411173315,28.131380836113365,6.308782980019477,3.799721146231575,36.927366557888746
SO18 3RA,6.857511984072268,20.702691804041425,5.0409146023809654,5.040787057976354,2.2067069524126484,34.79317722711525,8.824367727389902,2.3528857465001365,0.0,14.622790334268792,6.967996304483146,24.608283627153213,7.977194968229209,6.4916686339585254,5.1070905584656865,2.9387770031906015,34.346683356224666,13.707769053763828,5.917608853307446,5.216892316348163,11.69258610797516,3.776647044013228,8.024793156741918,36.74400922130237,5.110760086719475,9.399381097411498,2.1914028949120814,6.383529046933891,4.234208640472378,14.10846848338079,6.35762479746571,36.02959369416636,27.217860765621086,15.272307842795435,7.86834095062856,3.022242989637725,28.502438326469626,37.083398149469524,12.051094807159098,5.763661521415874,8.188014206892252,20.501838323807988,9.871672816566191,4.2061585306127185,4.594650175199593,9.006362173039522,5.096134849239831,2.765438569082374,6.707196821178037,6.766197213144161,4.960275273578711,3.4931368663156097,13.721406381290974,6.8114698923814485,10.730186797496927,28.285047908570085,38.54412995455921,34.82671278194818,29.253018034023953,6.092014402789593,11.569518039668063,2.0102425209802024,7.519628603432972,5.56990560407823,3.353304153249456,10.835068848181775,12.162483124411974,1.2327409203208233,6.036401059604558,17.67474942149318,11.972932730723215,7.310566797811776,18.93066961017442,28.49499115809123,7.4148510390326745,2.302118345326213,38.217049529475176
SO51 8EN,9.419399222897674,16.18879764186391,16.458767246911407,16.340604777047975,16.754358742185037,33.663275587107336,9.821337421233697,12.29382168256721,14.622790334268792,0.0,21.51345219213331,24.085468719254507,10.138576144003455,20.44940491885866,19.7270006302826,17.35119558622688,36.20273071015772,9.70145448476135,11.585982677057684,14.168704168507405,9.346686072136318,11.386248517570554,9.715804540435798,28.93221549434181,12.711808778878192,17.921015927453805,15.391084012190515,9.009848005780439,12.410622639494617,0.7092299189336444,12.144745066792767,35.126543713556885,29.58386468253863,25.087802502319214,21.059571685468764,11.738941278409326,31.12714358603619,25.825751640908486,19.684615105473448,12.158804612595755,7.803290174247824,16.807593843444934,13.792786435203105,11.37987119834733,13.502059544754786,5.829659971691189,12.726099447905066,15.275228042795783,10.911170076018385,11.412234500840388,16.31396436337686,17.313290129991046,1.4083255196701359,10.433794746275465,19.293576402241385,30.801063775586783,30.809311117310784,33.8190737437851,28.70328766436281,17.404936018918317,9.21682920499496,13.9694342874828,9.810406111167207,16.416707199783083,12.840548940305256,19.251147725435324,24.73628313027662,14.02979932331888,12.014399707259841,18.822218268551122,16.262996322293365,8.581857970281323,17.913668703521413,31.167177313088395,10.881560406817417,15.798753925857037,34.101152689880806
